"","x"
"1",0.289001453482133
"2",-0.0858482492231994
"3",0.0344947592231994
"4",0.000550604347505458
"5",0.277771163223199
"6",0.173438185258934
"7",0.731328141223199
"8",0.260423841741066
"9",0.0939026257410665
"10",-0.209843275741066
"11",-0.687587367223199
"12",1.0006334592232
"13",0.00493797525893352
"14",0.684185399223199
"15",0.0143700227410665
"16",-0.00120218146676328
"17",0.834081109223199
"18",0.00893220300000003
"19",-0.003608443
"20",0.231246056223199
"21",-0.0367643107410665
"22",-0.222945480223199
"23",0.173422484223199
"24",-0.0756056752231994
"25",0.120230189223199
"26",0.010057557
"27",-0.0023385629999999
"28",0.288955951741066
"29",1.2453365962232
"30",1.07610382925893
"31",1.9047884762232
"32",1.19804332374107
"33",0.705967708741066
"34",-4.96130914129367e-16
"35",0.660305074223199
"36",-0.361625166223199
"37",0.868327860223199
"38",0.227832349741066
"39",0.0291009947410665
"40",0.000175952686579155
"41",1.1617034982232
"42",0.457458614741066
"43",0.218754295258934
"44",0.376530224741067
"45",0.394634276900284
"46",0.394553489581849
"47",0.558674671223199
"48",3.95516952522712e-16
"49",1.4337367892232
"50",-0.310333174223199
"51",0.0310942462231994
"52",-0.0188602992231994
"53",0.0246634832231994
"54",0.0061273019832333
"55",0.00922213839721014
"56",-0.00542577331908212
"57",0.622855642223199
"58",-0.0121985167410665
"59",-0.195736044223199
"60",-0.146871221741066
"61",0.519819672223199
"62",-0.134796857223199
"63",-0.0274627767410665
"64",0.211455909223199
"65",-0.219115935223199
"66",0.202189810223199
"67",-0.414772436223199
"68",0.268015618223199
"69",-0.132190693223199
"70",0.0820228212231994
"71",0.0334489167410665
"72",-0.0526419902231994
"73",1.2539175672232
"74",0.0798040387410665
"75",0.000115784079624005
"76",-0.475273996223199
"77",0.851556417223199
"78",0.0455219112589335
"79",0.217982092741067
"80",0.355270169223199
"81",0.0553279882589335
"82",4.4421322512232
"83",4.12240563725893
"84",5.2826743102232
"85",4.69849196374107
"86",0.695392472741066
"87",0.452915872741066
"88",0.302622428344394
"89",0.302624307655606
"90",5.5565295912232
"91",4.09379092825893
"92",4.88252865974107
"93",4.8874967962232
"94",4.26982233294198
"95",4.26985960754016
"96",3.97074440474107
